Temps (s),CH1 (V),CH2 (V),CH3 (V)
5.1860744297719086e-08,50.0,-1.0,-51.0
5.198079231692677e-08,50.0,-1.0,-51.0
5.210084033613445e-08,49.0,-2.0,-51.0
5.222088835534213e-08,49.0,-2.0,-51.0
5.2340936374549815e-08,49.0,-3.0,-52.0
5.2460984393757504e-08,49.0,-3.0,-52.0
5.2581032412965186e-08,49.0,-3.0,-52.0
5.270108043217287e-08,49.0,-4.0,-52.0
5.282112845138055e-08,49.0,-4.0,-52.0
5.294117647058823e-08,49.0,-4.0,-52.0
5.3061224489795915e-08,49.0,-4.0,-52.0
5.31812725090036e-08,50.0,-4.0,-52.0
5.3301320528211286e-08,50.0,-4.0,-52.0
5.342136854741897e-08,50.0,-4.0,-52.0
5.354141656662665e-08,50.0,-4.0,-53.0
5.366146458583433e-08,50.0,-4.0,-53.0
5.3781512605042015e-08,50.0,-4.0,-53.0
5.39015606242497e-08,49.0,-5.0,-53.0
5.402160864345738e-08,49.0,-5.0,-53.0
5.414165666266506e-08,49.0,-5.0,-53.0
5.4261704681872744e-08,49.0,-6.0,-53.0
5.438175270108043e-08,49.0,-6.0,-53.0
5.4501800720288115e-08,49.0,-7.0,-53.0
5.46218487394958e-08,48.0,-7.0,-52.0
5.474189675870348e-08,48.0,-7.0,-52.0
5.486194477791116e-08,49.0,-8.0,-52.0
5.4981992797118844e-08,49.0,-8.0,-52.0
5.5102040816326526e-08,49.0,-9.0,-52.0
5.5222088835534215e-08,49.0,-10.0,-52.0
5.53421368547419e-08,49.0,-11.0,-52.0
5.546218487394958e-08,49.0,-12.0,-52.0
5.558223289315726e-08,50.0,-13.0,-52.0
5.5702280912364944e-08,50.0,-14.0,-52.0
5.5822328931572626e-08,50.0,-15.0,-52.0
5.594237695078031e-08,50.0,-16.0,-52.0
5.606242496998799e-08,50.0,-17.0,-52.0
5.618247298919567e-08,50.0,-18.0,-52.0
5.630252100840336e-08,50.0,-19.0,-52.0
5.6422569027611044e-08,50.0,-20.0,-51.0
5.6542617046818726e-08,50.0,-21.0,-51.0
5.666266506602641e-08,50.0,-22.0,-51.0
5.678271308523409e-08,50.0,-23.0,-51.0
5.690276110444177e-08,50.0,-24.0,-51.0
5.7022809123649455e-08,50.0,-25.0,-51.0
5.7142857142857144e-08,50.0,-27.0,-52.0
5.7262905162064826e-08,50.0,-27.0,-52.0
5.738295318127251e-08,50.0,-28.0,-52.0
5.750300120048019e-08,50.0,-29.0,-52.0
5.762304921968787e-08,50.0,-30.0,-52.0
5.7743097238895555e-08,50.0,-30.0,-52.0
5.786314525810324e-08,50.0,-31.0,-53.0
5.798319327731092e-08,50.0,-31.0,-53.0
5.81032412965186e-08,50.0,-32.0,-52.0
5.822328931572629e-08,50.0,-32.0,-52.0
5.834333733493397e-08,50.0,-32.0,-52.0
5.8463385354141655e-08,50.0,-32.0,-52.0
5.858343337334934e-08,50.0,-32.0,-52.0
5.870348139255702e-08,50.0,-32.0,-52.0
5.88235294117647e-08,50.0,-32.0,-51.0
5.8943577430972384e-08,50.0,-32.0,-51.0
5.906362545018007e-08,50.0,-31.0,-52.0
5.9183673469387755e-08,50.0,-30.0,-52.0
5.930372148859544e-08,50.0,-29.0,-52.0
5.942376950780312e-08,50.0,-28.0,-52.0
5.95438175270108e-08,50.0,-27.0,-53.0
5.966386554621848e-08,50.0,-26.0,-53.0
5.978391356542617e-08,50.0,-24.0,-53.0
5.990396158463385e-08,50.0,-23.0,-53.0
6.002400960384153e-08,50.0,-22.0,-53.0
6.014405762304921e-08,50.0,-21.0,-53.0
6.02641056422569e-08,50.0,-19.0,-53.0
6.038415366146458e-08,50.0,-18.0,-52.0
6.050420168067227e-08,50.0,-17.0,-52.0
6.062424969987996e-08,50.0,-16.0,-51.0
6.074429771908764e-08,50.0,-16.0,-51.0
6.086434573829532e-08,50.0,-15.0,-52.0
6.0984393757503e-08,50.0,-14.0,-52.0
6.110444177671068e-08,50.0,-14.0,-52.0
6.122448979591837e-08,50.0,-14.0,-52.0
6.134453781512605e-08,50.0,-13.0,-53.0
6.146458583433373e-08,50.0,-13.0,-53.0
6.158463385354141e-08,50.0,-13.0,-53.0
6.17046818727491e-08,50.0,-14.0,-53.0
6.182472989195678e-08,50.0,-14.0,-53.0
6.194477791116446e-08,50.0,-14.0,-53.0
6.206482593037214e-08,50.0,-15.0,-53.0
6.218487394957982e-08,50.0,-15.0,-52.0
6.230492196878751e-08,49.0,-16.0,-52.0
6.242496998799519e-08,49.0,-17.0,-51.0
6.254501800720288e-08,49.0,-17.0,-51.0
6.266506602641057e-08,49.0,-18.0,-51.0
6.278511404561825e-08,49.0,-18.0,-51.0
6.290516206482593e-08,49.0,-19.0,-51.0
6.302521008403361e-08,48.0,-20.0,-51.0
6.31452581032413e-08,48.0,-20.0,-52.0
6.326530612244898e-08,49.0,-21.0,-52.0
6.338535414165666e-08,49.0,-21.0,-52.0
6.350540216086434e-08,49.0,-22.0,-52.0
6.362545018007202e-08,49.0,-22.0,-52.0
6.374549819927971e-08,49.0,-22.0,-53.0
6.386554621848739e-08,49.0,-22.0,-53.0
6.398559423769507e-08,50.0,-21.0,-53.0
6.410564225690275e-08,49.0,-21.0,-53.0
6.422569027611044e-08,49.0,-21.0,-53.0
6.434573829531813e-08,49.0,-20.0,-53.0
6.446578631452581e-08,49.0,-20.0,-53.0
6.45858343337335e-08,49.0,-19.0,-53.0
6.470588235294118e-08,49.0,-19.0,-53.0
6.482593037214886e-08,49.0,-18.0,-52.0
6.494597839135654e-08,49.0,-17.0,-52.0
6.506602641056422e-08,49.0,-16.0,-51.0
6.518607442977191e-08,50.0,-15.0,-51.0
6.530612244897959e-08,50.0,-14.0,-51.0
6.542617046818727e-08,50.0,-13.0,-50.0
