Temps (s),CH2 (V),CH4 (V)
1.0036014405762305e-08,-1.0,33.0
1.008403361344538e-08,-1.0,33.0
1.0132052821128452e-08,-1.0,33.0
1.0180072028811525e-08,-1.0,33.0
1.0228091236494598e-08,-1.0,33.0
1.0276110444177671e-08,-1.0,33.0
1.0324129651860746e-08,-1.0,33.0
1.0372148859543818e-08,-1.0,33.0
1.0420168067226891e-08,-1.0,33.0
1.0468187274909964e-08,-1.0,33.0
1.0516206482593037e-08,-1.0,33.0
1.0564225690276112e-08,-1.0,33.0
1.0612244897959185e-08,-1.0,33.0
1.0660264105642258e-08,-1.0,33.0
1.070828331332533e-08,-1.0,33.0
1.0756302521008405e-08,-1.0,33.0
1.0804321728691478e-08,-1.0,33.0
1.085234093637455e-08,-1.0,33.0
1.0900360144057624e-08,-1.0,33.0
1.0948379351740697e-08,-1.0,33.0
1.0996398559423771e-08,-1.0,33.0
1.1044417767106844e-08,-1.0,33.0
1.1092436974789917e-08,-1.0,33.0
1.114045618247299e-08,-1.0,33.0
1.1188475390156063e-08,-1.0,33.0
1.1236494597839137e-08,-1.0,33.0
1.128451380552221e-08,-1.0,33.0
1.1332533013205283e-08,-1.0,33.0
1.1380552220888356e-08,-1.0,33.0
1.1428571428571429e-08,-1.0,33.0
1.1476590636254503e-08,-1.0,33.0
1.1524609843937576e-08,-1.0,33.0
1.1572629051620649e-08,-1.0,33.0
1.1620648259303722e-08,-1.0,33.0
1.1668667466986795e-08,-1.0,33.0
1.171668667466987e-08,-1.0,33.0
1.1764705882352942e-08,-1.0,33.0
1.1812725090036015e-08,-1.0,33.0
1.1860744297719088e-08,-1.0,33.0
1.1908763505402161e-08,-1.0,33.0
1.1956782713085236e-08,-1.0,33.0
1.2004801920768309e-08,-1.0,33.0
1.2052821128451381e-08,-1.0,33.0
1.2100840336134454e-08,-1.0,33.0
1.2148859543817527e-08,-1.0,33.0
1.2196878751500602e-08,-1.0,33.0
1.2244897959183675e-08,-1.0,33.0
1.2292917166866748e-08,-1.0,33.0
1.234093637454982e-08,-1.0,33.0
1.2388955582232893e-08,-1.0,33.0
1.2436974789915968e-08,-1.0,33.0
1.248499399759904e-08,-1.0,33.0
1.2533013205282114e-08,-1.0,33.0
1.2581032412965187e-08,-1.0,33.0
1.262905162064826e-08,-1.0,33.0
1.2677070828331334e-08,-1.0,33.0
1.2725090036014407e-08,-1.0,33.0
1.277310924369748e-08,-1.0,33.0
1.2821128451380553e-08,-1.0,33.0
1.2869147659063626e-08,-1.0,33.0
1.29171668667467e-08,-1.0,33.0
1.2965186074429773e-08,-1.0,33.0
1.3013205282112846e-08,-1.0,33.0
1.3061224489795919e-08,-1.0,33.0
1.3109243697478992e-08,-1.0,33.0
1.3157262905162066e-08,-1.0,33.0
1.320528211284514e-08,-1.0,33.0
1.3253301320528212e-08,-1.0,33.0
1.3301320528211285e-08,-1.0,33.0
1.3349339735894358e-08,-1.0,33.0
1.3397358943577432e-08,-1.0,33.0
1.3445378151260505e-08,-1.0,33.0
1.3493397358943578e-08,-1.0,33.0
1.3541416566626651e-08,-1.0,33.0
1.3589435774309724e-08,-1.0,33.0
1.3637454981992799e-08,-1.0,33.0
1.3685474189675871e-08,-1.0,33.0
1.3733493397358944e-08,-1.0,33.0
1.3781512605042017e-08,-1.0,33.0
1.382953181272509e-08,-1.0,33.0
1.3877551020408165e-08,-1.0,33.0
1.3925570228091238e-08,-1.0,33.0
1.397358943577431e-08,-1.0,33.0
1.4021608643457383e-08,-1.0,33.0
1.4069627851140458e-08,-1.0,33.0
1.4117647058823531e-08,-1.0,33.0
1.4165666266506604e-08,-1.0,33.0
1.4213685474189677e-08,-1.0,33.0
1.426170468187275e-08,-1.0,33.0
1.4309723889555824e-08,-1.0,33.0
1.4357743097238897e-08,-1.0,33.0
1.440576230492197e-08,-1.0,33.0
1.4453781512605043e-08,-1.0,33.0
1.4501800720288116e-08,-1.0,33.0
1.454981992797119e-08,-1.0,33.0
1.4597839135654263e-08,-1.0,33.0
1.4645858343337336e-08,-1.0,33.0
1.4693877551020409e-08,-1.0,33.0
1.4741896758703482e-08,-1.0,33.0
1.4789915966386556e-08,-1.0,33.0
1.483793517406963e-08,-1.0,33.0
1.4885954381752702e-08,-1.0,33.0
1.4933973589435777e-08,-1.0,33.0
1.498199279711885e-08,-1.0,33.0
1.5030012004801923e-08,-1.0,33.0
1.5078031212484995e-08,-1.0,33.0
1.5126050420168068e-08,-1.0,33.0
1.517406962785114e-08,-1.0,33.0
1.5222088835534214e-08,-1.0,33.0
1.5270108043217287e-08,-1.0,33.0
1.531812725090036e-08,-1.0,33.0
1.5366146458583433e-08,-1.0,33.0
1.541416566626651e-08,-1.0,33.0
1.5462184873949582e-08,-1.0,33.0
1.5510204081632655e-08,-1.0,33.0
1.5558223289315728e-08,-1.0,33.0
1.56062424969988e-08,-1.0,33.0
1.5654261704681873e-08,-1.0,33.0
1.5702280912364946e-08,-1.0,33.0
1.575030012004802e-08,-1.0,33.0
1.5798319327731092e-08,-1.0,33.0
1.584633853541417e-08,-1.0,33.0
1.589435774309724e-08,-1.0,33.0
1.5942376950780314e-08,-1.0,33.0
1.5990396158463387e-08,-1.0,33.0
1.603841536614646e-08,-1.0,33.0
1.6086434573829533e-08,-1.0,33.0
1.6134453781512606e-08,-1.0,33.0
1.618247298919568e-08,-1.0,33.0
1.623049219687875e-08,-1.0,33.0
1.6278511404561824e-08,-1.0,33.0
1.63265306122449e-08,-1.0,33.0
1.6374549819927974e-08,-1.0,33.0
1.6422569027611046e-08,-1.0,33.0
1.647058823529412e-08,-1.0,33.0
1.6518607442977192e-08,-1.0,33.0
1.6566626650660265e-08,-1.0,33.0
1.6614645858343338e-08,-1.0,33.0
1.666266506602641e-08,-1.0,33.0
1.6710684273709484e-08,-1.0,33.0
1.6758703481392557e-08,-1.0,33.0
1.6806722689075633e-08,-1.0,33.0
1.6854741896758706e-08,-1.0,33.0
1.690276110444178e-08,-1.0,33.0
1.695078031212485e-08,-1.0,33.0
1.6998799519807925e-08,-1.0,33.0
1.7046818727490997e-08,-1.0,33.0
1.709483793517407e-08,-1.0,33.0
1.7142857142857143e-08,-1.0,33.0
1.7190876350540216e-08,-1.0,33.0
1.723889555822329e-08,-1.0,33.0
1.7286914765906365e-08,-1.0,33.0
1.7334933973589438e-08,-1.0,33.0
1.738295318127251e-08,-1.0,33.0
1.7430972388955584e-08,-1.0,33.0
1.7478991596638657e-08,-1.0,33.0
1.752701080432173e-08,-1.0,33.0
1.7575030012004803e-08,-1.0,33.0
1.7623049219687875e-08,-1.0,33.0
1.767106842737095e-08,-1.0,33.0
1.771908763505402e-08,-1.0,33.0
1.7767106842737097e-08,-1.0,33.0
1.781512605042017e-08,-1.0,33.0
1.7863145258103243e-08,-1.0,33.0
1.7911164465786316e-08,-1.0,33.0
1.795918367346939e-08,-1.0,33.0
1.8007202881152462e-08,-1.0,33.0
1.8055222088835535e-08,-1.0,33.0
1.8103241296518608e-08,-1.0,33.0
1.815126050420168e-08,-1.0,33.0
1.8199279711884754e-08,-1.0,33.0
1.824729891956783e-08,-1.0,33.0
1.8295318127250903e-08,-1.0,33.0
1.8343337334933976e-08,-1.0,33.0
1.839135654261705e-08,-1.0,33.0
1.843937575030012e-08,-1.0,33.0
1.8487394957983194e-08,-1.0,33.0
1.8535414165666267e-08,-1.0,33.0
1.858343337334934e-08,-1.0,33.0
1.8631452581032413e-08,-1.0,33.0
1.867947178871549e-08,-1.0,33.0
1.8727490996398562e-08,-1.0,33.0
1.8775510204081635e-08,-1.0,33.0
1.8823529411764708e-08,-1.0,33.0
1.887154861944778e-08,-1.0,33.0
1.8919567827130854e-08,-1.0,33.0
1.8967587034813927e-08,-1.0,33.0
1.9015606242497e-08,-1.0,33.0
1.9063625450180072e-08,-1.0,33.0
1.9111644657863145e-08,-1.0,33.0
1.915966386554622e-08,-1.0,33.0
1.9207683073229294e-08,-1.0,33.0
1.9255702280912367e-08,-1.0,33.0
1.930372148859544e-08,-1.0,33.0
1.9351740696278513e-08,-1.0,33.0
1.9399759903961586e-08,-1.0,33.0
1.944777911164466e-08,-1.0,33.0
1.9495798319327732e-08,-1.0,33.0
1.9543817527010805e-08,-1.0,33.0
1.9591836734693877e-08,-1.0,33.0
1.9639855942376954e-08,-1.0,33.0
1.9687875150060027e-08,-1.0,33.0
1.97358943577431e-08,-1.0,33.0
1.9783913565426172e-08,-1.0,33.0
1.9831932773109245e-08,-1.0,33.0
1.9879951980792318e-08,-1.0,33.0
1.992797118847539e-08,-1.0,33.0
1.9975990396158464e-08,-1.0,33.0
2.0024009603841537e-08,-1.0,33.0
2.007202881152461e-08,-1.0,33.0
2.0120048019207686e-08,-1.0,33.0
2.016806722689076e-08,-1.0,33.0
2.0216086434573832e-08,-1.0,33.0
2.0264105642256905e-08,-1.0,33.0
2.0312124849939978e-08,-1.0,33.0
2.036014405762305e-08,-1.0,33.0
2.0408163265306123e-08,-1.0,33.0
2.0456182472989196e-08,-1.0,33.0
2.050420168067227e-08,-1.0,33.0
2.0552220888355342e-08,-1.0,33.0
2.0600240096038418e-08,-1.0,33.0
2.064825930372149e-08,-1.0,33.0
2.0696278511404564e-08,-1.0,33.0
2.0744297719087637e-08,-1.0,33.0
2.079231692677071e-08,-1.0,33.0
2.0840336134453783e-08,-1.0,33.0
