Temps (s),CH2 (V),CH3 (V),CH4 (V)
5.522208883553421e-07,61.0,-42.0,4.0
5.546218487394958e-07,61.0,-44.0,5.0
5.570228091236494e-07,62.0,-43.0,5.0
5.594237695078031e-07,62.0,-43.0,3.0
5.618247298919568e-07,62.0,-43.0,5.0
5.642256902761105e-07,61.0,-42.0,4.0
5.666266506602641e-07,61.0,-43.0,4.0
5.690276110444177e-07,62.0,-42.0,6.0
5.714285714285714e-07,61.0,-42.0,5.0
5.73829531812725e-07,61.0,-44.0,5.0
5.762304921968788e-07,62.0,-42.0,5.0
5.786314525810324e-07,61.0,-42.0,5.0
5.810324129651861e-07,62.0,-42.0,4.0
5.834333733493397e-07,62.0,-43.0,5.0
5.858343337334934e-07,62.0,-43.0,5.0
5.88235294117647e-07,62.0,-42.0,6.0
5.906362545018007e-07,61.0,-43.0,4.0
5.930372148859544e-07,62.0,-42.0,4.0
5.95438175270108e-07,62.0,-43.0,4.0
5.978391356542617e-07,62.0,-43.0,5.0
6.002400960384153e-07,62.0,-43.0,5.0
6.02641056422569e-07,62.0,-43.0,5.0
6.050420168067226e-07,61.0,-43.0,5.0
6.074429771908764e-07,62.0,-43.0,5.0
6.0984393757503e-07,62.0,-42.0,5.0
6.122448979591837e-07,62.0,-44.0,4.0
6.146458583433373e-07,61.0,-43.0,5.0
6.17046818727491e-07,62.0,-42.0,5.0
6.194477791116446e-07,62.0,-43.0,4.0
6.218487394957982e-07,62.0,-42.0,4.0
6.24249699879952e-07,62.0,-43.0,5.0
6.266506602641056e-07,63.0,-43.0,5.0
6.290516206482593e-07,63.0,-43.0,5.0
6.314525810324129e-07,61.0,-42.0,5.0
6.338535414165666e-07,61.0,-43.0,5.0
6.362545018007202e-07,61.0,-42.0,4.0
6.38655462184874e-07,62.0,-43.0,5.0
6.410564225690276e-07,61.0,-43.0,5.0
6.434573829531813e-07,62.0,-44.0,3.0
6.458583433373349e-07,62.0,-43.0,4.0
6.482593037214886e-07,62.0,-43.0,5.0
6.506602641056422e-07,62.0,-44.0,4.0
6.530612244897958e-07,61.0,-43.0,4.0
6.554621848739496e-07,62.0,-42.0,4.0
6.578631452581032e-07,62.0,-43.0,5.0
6.602641056422569e-07,61.0,-42.0,5.0
6.626650660264105e-07,62.0,-43.0,4.0
6.650660264105642e-07,62.0,-42.0,4.0
6.674669867947178e-07,62.0,-43.0,4.0
6.698679471788716e-07,62.0,-43.0,5.0
6.722689075630252e-07,62.0,-42.0,4.0
6.746698679471789e-07,61.0,-42.0,5.0
6.770708283313325e-07,62.0,-43.0,5.0
6.794717887154861e-07,62.0,-43.0,4.0
6.818727490996398e-07,61.0,-44.0,4.0
6.842737094837935e-07,63.0,-43.0,5.0
6.866746698679472e-07,61.0,-42.0,5.0
6.890756302521008e-07,61.0,-43.0,4.0
6.914765906362545e-07,62.0,-42.0,4.0
6.938775510204081e-07,62.0,-42.0,4.0
6.962785114045618e-07,62.0,-43.0,4.0
6.986794717887154e-07,63.0,-43.0,4.0
7.010804321728692e-07,62.0,-43.0,4.0
7.034813925570228e-07,61.0,-42.0,5.0
7.058823529411765e-07,62.0,-42.0,4.0
7.082833133253301e-07,63.0,-42.0,5.0
7.106842737094837e-07,62.0,-43.0,4.0
7.130852340936374e-07,61.0,-42.0,5.0
7.154861944777911e-07,61.0,-42.0,4.0
7.178871548619448e-07,63.0,-43.0,4.0
7.202881152460984e-07,62.0,-43.0,5.0
7.226890756302521e-07,63.0,-43.0,4.0
7.250900360144057e-07,61.0,-43.0,5.0
7.274909963985594e-07,61.0,-43.0,5.0
7.298919567827131e-07,61.0,-43.0,4.0
7.322929171668668e-07,61.0,-42.0,5.0
7.346938775510204e-07,62.0,-43.0,4.0
7.37094837935174e-07,63.0,-43.0,5.0
7.394957983193277e-07,62.0,-43.0,4.0
7.418967587034813e-07,61.0,-43.0,5.0
7.44297719087635e-07,61.0,-43.0,5.0
7.466986794717887e-07,62.0,-44.0,3.0
7.490996398559424e-07,62.0,-43.0,4.0
7.51500600240096e-07,61.0,-42.0,5.0
7.539015606242497e-07,61.0,-43.0,5.0
7.563025210084033e-07,62.0,-42.0,4.0
7.58703481392557e-07,62.0,-43.0,4.0
7.611044417767107e-07,62.0,-42.0,5.0
7.635054021608644e-07,61.0,-43.0,5.0
7.65906362545018e-07,62.0,-43.0,4.0
7.683073229291716e-07,62.0,-43.0,4.0
7.707082833133253e-07,62.0,-42.0,5.0
7.731092436974789e-07,61.0,-43.0,5.0
7.755102040816326e-07,63.0,-42.0,4.0
7.779111644657863e-07,62.0,-43.0,5.0
7.8031212484994e-07,63.0,-44.0,4.0
7.827130852340936e-07,62.0,-43.0,5.0
7.851140456182473e-07,62.0,-42.0,5.0
7.875150060024009e-07,61.0,-42.0,5.0
7.899159663865545e-07,61.0,-43.0,5.0
7.923169267707083e-07,62.0,-44.0,5.0
7.947178871548619e-07,61.0,-43.0,4.0
7.971188475390156e-07,62.0,-43.0,4.0
7.995198079231692e-07,61.0,-43.0,5.0
8.019207683073229e-07,63.0,-43.0,4.0
8.043217286914765e-07,61.0,-44.0,4.0
8.067226890756302e-07,62.0,-42.0,5.0
8.091236494597839e-07,62.0,-42.0,6.0
8.115246098439376e-07,61.0,-42.0,5.0
8.139255702280912e-07,62.0,-42.0,4.0
8.163265306122449e-07,62.0,-42.0,5.0
8.187274909963985e-07,63.0,-43.0,4.0
8.211284513805521e-07,63.0,-42.0,5.0
8.235294117647059e-07,62.0,-43.0,5.0
8.259303721488595e-07,62.0,-43.0,4.0
8.283313325330132e-07,61.0,-42.0,4.0
8.307322929171668e-07,62.0,-43.0,4.0
8.331332533013205e-07,61.0,-44.0,4.0
8.355342136854741e-07,63.0,-44.0,5.0
8.379351740696279e-07,62.0,-42.0,5.0
8.403361344537815e-07,62.0,-42.0,5.0
8.427370948379352e-07,61.0,-43.0,5.0
8.451380552220888e-07,61.0,-43.0,5.0
8.475390156062424e-07,62.0,-44.0,4.0
8.499399759903961e-07,62.0,-43.0,5.0
8.523409363745497e-07,62.0,-42.0,5.0
8.547418967587035e-07,61.0,-42.0,5.0
8.571428571428571e-07,62.0,-42.0,4.0
8.595438175270108e-07,61.0,-42.0,4.0
8.619447779111644e-07,62.0,-42.0,5.0
8.643457382953181e-07,63.0,-43.0,4.0
8.667466986794717e-07,62.0,-42.0,5.0
8.691476590636255e-07,62.0,-43.0,4.0
8.715486194477791e-07,61.0,-42.0,4.0
8.739495798319328e-07,62.0,-43.0,4.0
8.763505402160864e-07,62.0,-42.0,4.0
8.7875150060024e-07,62.0,-42.0,4.0
8.811524609843937e-07,62.0,-43.0,5.0
8.835534213685474e-07,61.0,-43.0,5.0
8.859543817527011e-07,62.0,-42.0,5.0
8.883553421368547e-07,61.0,-42.0,4.0
8.907563025210084e-07,61.0,-44.0,4.0
8.93157262905162e-07,61.0,-43.0,5.0
8.955582232893157e-07,62.0,-42.0,4.0
8.979591836734693e-07,62.0,-42.0,5.0
9.003601440576231e-07,62.0,-42.0,5.0
9.027611044417767e-07,62.0,-43.0,5.0
9.051620648259303e-07,62.0,-43.0,4.0
9.07563025210084e-07,63.0,-43.0,5.0
